user,service
네 그렇게 해주세요,아이스 아메리카노 한 잔에 4000원입니다
네 여기 오천 원이요,현금영수증 필요하세요 
아니요 현금영수증 괜찮아요,핸드폰 알림 울리면 찾으러 오시면 됩니다
음료 사이즈 업 가능한가요 ,네 가능합니다
아이스 아메리카노 사이즈 업해주세요,아이스 아메리카노 4000원입니다
아이스 아메리카노에 샷이 몇 개 들어가죠 ,아이스 아메리카노에 샷은 세 개 들어갑니다
아이스 아메리카노에 샷 하나 더 추가할게요,사이즈 업 아이스 아메리카노에 샷 추가 맞으시죠 
네 맞습니다,총 4500원입니다
아메리카노 한 잔 주세요,네 아메리카노 어떤 걸로 드릴까요 
아이스 아메리카노요,네 아이스 아메리카노로 한 잔 드릴게요
음료 한 잔 더 추가되나요 ,네 말씀 하세요
바닐라라떼도 하나 주세요,바닐라라떼 따뜻한 거요 
네 바닐라라떼 따뜻한 걸로 주세요,네 알겠습니다 5000원 결제 도와드릴께요 
카페라떼 한 잔 주세요,카페라떼 따뜻한 걸로 드릴까요 
네 카페라떼 디카페인 되나요 ,네 카페라떼 디카페인 가능합니다
네 카페라떼 디카페인으로 주세요,네 4500원 결제 도와드릴께요
네 감사합니다,핸드폰 알림으로 알려드릴께요
카페라떼 디카페인 맞나요 ,네 맛있게 드세요
자몽티 한 잔 얼마에요 ,5000원이에요
자몽티 사이즈업 되나요 ,네 자몽에이드 사이즈업 가능해요
생크림 케이크는 뭐가 제일 맛있어요 ,죄송합니다 품절입니다
자몽차랑 샌드위치 주세요,드시고 가시나요 
포장 가능하죠 ,네 준비해드릴게요
아이스 프라푸치노 주세요,네 아이스 프라푸치노 몇 잔 드릴까요 
아이스 프라푸치노 한 잔이요,아이스 프라푸치노 사이즈는 어떻게 드릴까요 
아이스 프라푸치노 그란데 사이즈로요,아이스 프라푸치노에 휘핑크림 올려드릴까요 
시그니처 메뉴가 뭐에요,라이트한 맛의 아이스 아메리카노가 잘나가요
아뇨,매장 안에서 드실 건가요 
아뇨,네 멤버십 카드와 결제수단 함께 제시해 주세요
새벽에도 영업해요 ,오전 10시부터 오후 10시까지 입니다
카페라떼 한 잔 주세요,사이즈는 어떻게 할까요
초코라떼 한 잔 주세요,따뜻하게 해드릴까요
레몬에이드 한 잔 주세요,얼음 많이 할까요 적게 할까요
아메리카노 한 잔 주세요,포장이신가요
자몽티 한 잔 주세요,음료 사이즈 말씀해주세요
카페라떼 라지 사이즈요,추가하실 건 없으세요 
아메리카노 라지 사이즈요,추가하실 건 없으세요 
네 화장실은 어디에요 ,카운터 오른쪽에 있어요
와이파이 비밀번호는 뭐예요 ,와이파이 암호는 OZZ5842 입니다
딸기 스무디 되나요 ,지금은 재료가 다 떨어져서 딸기 스무디는 어렵습니다
따뜻한 라떼 한 잔 주세요,드시고 가시나요 
아니요 가져갈게요,네 더 필요하신 건 없으신가요 
이 쿠키도 함께 주세요,네 쿠폰 찍어드릴까요 
네 찍어주세요,네 주문하신 딸기 스무디와 쿠키 드릴게요
시즌 메뉴 오늘도 가능한가요 ,네 시즌 메뉴 가능합니다
프리퀀시 적립하고 있는데 시즌 메뉴도 하나만 적립되나요 ,네 그렇습니다
시즌 메뉴와 함께 구성되어 있는 세트 메뉴가 있나요 ,네 치즈 베이글과 시즌 메뉴 두 잔으로 구성된 세트 메뉴 있습니다
기프티콘도 세트메뉴에 사용 가능한가요 ,아니오 세트 메뉴에는 기프티콘 사용이 불가능합니다
이 기프티콘으로 대체할 수 있는 시즌 메뉴는 무엇인가요 ,기프티콘으로 대체할 수 있는 시즌 메뉴는 없습니다
라떼에 우유 대신 두유로도 변경 가능한가요 ,네 라떼에 두유로 변경 가능합니다
그럼 두유로 바꿔서 카페라떼 두 잔 주세요,카페라떼 사이즈는 어떻게 드릴까요 
카페라떼 라지로 주세요,드시고 가실 건가요 
아니요 가져갈 거예요,핸드폰 알림으로 알려드릴께요
커피 캐리어도 주실 수 있나요 ,네 캐리어에 담아 드릴게요
저 따뜻한 아메리카노 한 잔하고 아이스 라떼 한 잔 주세요,더 필요한 건 없으시고요 
이 치즈케이크도 한 조각 주세요,여기서 드실 건가요 
네 먹고 갈 거예요,카드 여기 꽂아 주세요
네 몇 분 정도 걸릴까요 ,주문이 밀려서 7분 정도 걸릴 거예요
네 2층이 넓은가요 ,네 2층에 자리 많아요
카페인이 들어있지 않은 음료 있나요 ,티 음료와 에이드에는 카페인 성분이 들어가지 않습니다
에이드 한 잔 주세요,레몬에이드 딸기에이드 키위스이이드 중에 선택해 주세요
딸기에이드랑 키위에이드는 생과일인가요 ,딸기는 냉동 제품이고 키위는 생과일을 사용하고 있습니다
그럼 딸기 에이드 하나 주세요,드시고 가시나요 
뭐가 맛있어요,라이트한 맛의 아이스 아메리카노가 잘나가요
네 매장에서 마실 거예요,머그잔에 드릴게요
카페라떼 한 잔이요,아이스 카페라떼로 드릴까요 
레몬에이드 한 잔이요,5500원 입니다
자몽티 한 잔이요,5000원 결제해드리겠습니다
아메리카노 한 잔이요,아이스 아메리카노로 드릴까요 
아니요 아메리카노 뜨거운 걸로 주세요,드시고 가시나요 
네 그렇습니다,머그잔 괜찮으세요 
네 휴지도 같이 주시겠어요 ,네 아메리카노 4000원입니다
여기 포인트도 적립되나요 ,네 그럼요
디카페인 커피도 판매하나요 ,네 저희 매장에서는 디카페인과 하프 디카페인 중에 선택하실 수 있습니다
디카페인 아이스 아메리카노 한 잔 주세요,디카페인 아이스 아메리카노는 추가금액 무료 입니다
괜찮습니다,추가로 필요하신 건 없나요 
베이글도 한 조각 주세요,네 총 7500원 결제해드리겠습니다
영수증 챙겨주세요,결제 완료되셨고 영수증 여기 있습니다
커피음료 아닌 것 뭐가 있나요 ,에이드와 과일차 있습니다
과일차는 어떤 종류 있나요 ,자몽차 딸기차 파인애플차가 있습니다
따듯한 음료는 뭐가 있어요,따듯한 라떼 자몽차 추천해드려요
딸기 차로 주세요,네 더 필요한 건 없으세요 
센드위치도 같이 주세요,네 알겠습니다
카드 결제할게요,네 카드 받았습니다
플랫 화이트가 뭔가요 ,플랫 화이트는 카페라떼보다 우유 양이 좀 적게 들어갔어요
플랫 화이트 한 잔 주세요,신 맛과 고소한 맛 원두 중에 어떤 걸로 드릴까요 
고소한 맛 원두로 부탁드릴게요,플랫 화이트 사이즈는 뭘로 하시겠어요 
플랫 화이트 라지로 주세요,네
얼마인가요 ,플랫 화이트 4500원입니다
치즈케이크 있나요 ,아니요 치즈케이크는 지금 없어요
네 베이글 주세요,음료는 뭘로 드릴까요 
아이스 아메리카노 두 잔 주세요,드시고 가시나요 
네 먹고 갈 거예요,유리잔 괜찮으세요 
네 괜찮아요,네 총 11100원입니다
차 종류는 어떤 게 있나요 ,차 종류는 루이보스랑 블랙 티 있어요
페퍼민트는 없나요 ,죄송합니다만 페퍼민트는 방금 전에 다 떨어졌어요
카페인이 적고 따뜻한 다른 음료 좀 추천해주세요,루이보스차나 밀크티 종류는 어떠세요 
밀크티는 티를 직접 우려서 나오는 건가요 ,네 밀크티는 블랙 티를 우려서 만들고 있어요
따뜻한 밀크티 주세요,네
아이스 아메리카노 한 잔 주문할게요,네 알겠습니다
음료 받으려면 얼마나 기다려야 하나요 ,10분 정도 기다려 주시면 됩니다
치즈 케이크는 지금 없나요 ,네 치즈케이크는 판매하지 않습니다
베이글로 주세요,핸드폰 알림으로 알려드릴께요
앞접시도 주실 수 있으신가요 ,네 앞접시도 같이 드리겠습니다
아이스 아메리카노 한잔 얼마인가요 ,4000원입니다
따뜻한 아메리카노 한 잔은 얼마인가요 ,4000원입니다
그러면 따뜻한 아메리카노 한 잔과 아이스 아메리카노 한 잔 포장해 주세요,네 현금영수증 필요하세요 
네 현금영수증 해주세요,현금영수증 번호 눌러주세요
현금영수증 번호 눌렀습니다,네 고맙습니다
매장 영업 몇 시까지 하나요 ,매장 영업 시간은 10시까지라 지금은 테이크아웃만 가능하세요
마감 다 하실 때까지 앉아있다 가면 안 되나요 ,네 바닥 청소도 해야 해서 죄송합니다
아이스 아메리카노 두 잔 주세요,네 총 8000원입니다
아이스 아메리카노 한 잔에만 시럽 넣어주세요,네 알겠습니다
이 카드로 결제해주세요,네 결제 도와드릴게요
와이파이 되나요 ,와이파이 암호는 OZZ5842 입니다
화장실이 어디예요 ,카운터 오른쪽에 있어요
주문한 게 다 안 나왔어요,주문 영수증 한번 보여 주시겠서요
커피 말고 다른 음료는 없나요 ,티와 주스가 있습니다
추운데 에어컨을 줄여주시겠어요 ,죄송 합니다 중앙냉방이라 곤란합니다
아아에 샷 추가 부탁드려요,네 커피가 많이 진할 수 있는데 괜찮으신가요 
네 결제는 삼성페이로 할게요,포인트 적립 카드 있으신가요 
네 휴대폰 번호 입력할게요,네 번호 입력해주세요
카페는 몇 시까지 하나요 ,10시까지 합니다
아아에 얼음 많이 넣어주세요,네 다 되면 핸드폰 알림로 알려드릴게요
아메리카노 기프티콘 사용할 수 있나요 ,네 가능하세요
아메리카노 기프티콘 사용해주세요,바코드를 앞에 기계에 대어주세요
기계 바코드 인식이 잘 안되는데요,제가 해드리겠습니다
네 기프티콘 여기 있어요,아메리카노 기프티콘 사용되었습니다
감사합니다,픽업은 오른쪽에서 하시면 됩니다
오늘의 커피는 뭔가요 ,아메리카노와 초코라떼입니다
초코라떼 주세요,따뜻하게 드릴까요
아니요 그냥 주세요,초코라떼 5000 원입니다
카드로 할게요,네 잠시만 기다려주세요
매장 주소 좀 알려주세요,광주 북구 첨단과기로 339 입니다
빨대는 어디 있나요 ,네 이쪽에 있습니다
샌드위치랑 카페라떼 주세요,샌드위치는 뭐로 드릴까요 참치 인기가요 고구마무스 있습니다
네 샌드위치도 데워주실 수 있죠 ,그럼요
물티슈도 챙겨 주세요,네 드시고 가시나요 
네,커피는 머그에 준비해 드려도 될까요 
네 괜찮아요,준비되면 불러드리겠습니다
어떤게 잘나가요,라이트한 맛의 아이스 아메리카노가 잘나가요
단체 주문 가능한가요 ,물론이죠
아이스 아메리카노 30개 주세요,네 단체 주문은 재료 추가 불가능합니다
라떼 20개 주문할게요,총 50개 주문받았습니다
그럼 한 시간 후에 음료 찾으러 오면 될까요 ,네 계산 도와드릴게요
포인트랑 쿠폰 적립해주세요,다 되셨습니다
커피와 조각 케이크 세트로 판매하시나요 ,네 있습니다
세트 종류가 어떤 게 있죠 ,이쪽에서 고르시면 됩니다
아메리카노 베이글 세트 가격은 어떻게 되죠 ,아메리카노 티라미슈 세트 가격은6500입니다
아메리카노를 카페라떼로 변경 가능한가요 ,가능합니다만 가격이 500원 더 올라가게 됩니다
그러면 아메리카노 티라미슈 세트에 카페모카로 변경해서 주문하겠습니다,네 잠시만 기다려주세요
아이스 아메리카노 되나요 ,네 가능합니다
얼음량 조절 적게 되나요 ,네 가능합니다
베이글은 얼마인가요 ,베이글은 3000원입니다
샌드위치은 얼마에요 ,샌드위치는 3500원입니다
베이글과 샌드위치 전부 주세요,준비해드리겠습니다
지금 빙수 되나요 ,빙수는 계절메뉴라 지금은 판매하지 않습니다
그럼 아메리카노랑 바닐라 라떼 주세요,둘 다 아이스인가요 
바닐라 라떼는 따뜻하게 주세요,네 적립이나 할인되는 카드 있으세요 
네 여기 있습니다,손님 지금 15000포인트 있으신데 사용해 드릴까요 
아니요 그냥 적립만 해주세요,네 적립되셨습니다
기프트카드 포인트 결제되나요 ,네 됩니다
혹시 기존 카드로 통합 시킬 수도 있나요 ,네 합쳐 드릴까요 
네 합쳐주시고 아이스 아메리카노 한잔 주세요,드시고 가실 건가요 
잘나가는 걸로줘,라이트한 맛의 아이스 아메리카노가 잘나가요
먹고 갈 건데 혹시 일회용 컵에 담아주실 수 있을까요 ,매장에서 드실 거면 머그컵에 드리도록 되어있습니다
마시다 나갈 거니 일회용 컵에 담아주실 수는 없을까요 ,네 일회용 컵에 담아 드리겠습니다
아메리카노 하나 주세요,따뜻한 걸로 드릴까요 
아니요 아이스로 주세요,레귤러 사이즈로 괜찮으세요 
네 괜찮습니다,매장에서 드시고 가시나요 
테이크 아웃으로 부탁드립니다,결제는 이쪽에서 도와드릴게요
네 알겠습니다,준비가 되면 불러 드릴게요
초코 라떼 한잔 주세요,따뜻하게 드릴까요
네 너무 뜨겁게는 말고요,알겠습니다 4500원입니다
혹시 테이크 아웃 잔에 받을 수 있나요,테이크 아웃하시는 건가요
아니요 여기서 먹을 건데요,그러면 머그잔에 드려야 합니다
그럼 그렇게 주세요,핸드폰 알림 울리면 가지로 오세요
아메리카노 한 잔 주세요,따뜻한 것과 아이스 중에 무엇을 드릴까요 
아이스로 주세요,네 시럽 넣어드릴까요 
아니요 시럽은 빼주세요,네 드시고 가실 건가요 
아니요 테이크 아웃이요,네 4000원 결제 도와드리겠습니다
여기 카드로 결제해주세요,네 알겠습니다
아메리카노 두 잔이랑 베이글 한 개 주세요,아메리카노 두 잔 베이글 한 개 주문 도와드리면 될까요 
아메리카노 하나는 샷 추가해주세요,아메리카노는 둘 다 따뜻한 걸로 드릴까요 
네 따뜻하게 해주세요,다해서 11000원입니다
쿠폰 찍어주세요,네 찍어드릴게요
현금영수증도 해주시죠 ,네 영수증 드릴게요
주문할게요,어떤 거 드릴까요
아메리카노 따뜻한 거 라지 사이즈로 주세요,다른 건 필요 없으신가요 
티라미수 케이크도 주세요,적립카드 있으신가요 
번호로 할게요,주차는 하셨나요
주차 안 했어요,핸드폰 알림울리면 가지로 오세요
팥빙수 파나요 ,팥빙수는 계절음식이라 지금은 안되세요
자몽차는 있나요 ,네 자몽차는 있습니다
그럼 자몽차 한잔 주세요,따뜻하게 드릴까요 
네,영수증 드릴까요 
아니요 버려주세요,와이파이 암호는 OZZ5842 입니다
저번에 와서 먹은 미숫가루 라떼가 오늘은 없네요 ,네 그건 시즌 한정 메뉴라 겨울에는 판매하지 않습니다
그럼 겨울 메뉴로는 뭐가 맛있나요 ,겨울엔 자몽티가 제일 많이 나가요
사이드 메뉴 중엔 맛있는 게 뭔가요 ,샌드위치가 인기에요
그럼 자몽차 2잔이랑 샌드위치 2개 주세요,드시고 가시나요 
네 결제는 카드로 할게요,네 결제 완료되었습니다
아메리카노 한잔 주세요,따뜻한 걸로 드릴까요 
아이스 아메리카노로 주세요,아이스 아메리카노 한잔 주문 도와드리겠습니다
초코베이글도 하나 추가해주세요,초코베이글 어떤 걸로 드릴까요 
화이트로 부탁해요,아이스 아메리카노 한잔 화이트초코베이글 1개 주문 도와드리겠습니다
얼마예요 ,총 7000원입니다
아메리카노 한 잔이랑 바닐라 라떼 한 잔 주세요,둘 다 따뜻한 거 맞으세요 
아니요 아메리카노는 아이스로 주세요,네 음료 사이즈는 어떤 걸로 하시겠어요 
둘 다 스몰 사이즈로 할게요,네 결제는 어떤 것으로 도와드릴까요 
기프티콘으로 결제할게요,네 그럼 쿠폰 저에게 보여주세요
여기 쿠폰이요,네 고객님 결제 완료되었습니다
녹차라떼 1잔 주세요,따뜻한 걸로 드릴까요 
네 따뜻한 걸로 주세요,드시고 가시나요 
네 여기서 먹고 갈 거예요,그럼 머그잔에 드릴게요
혹시 휘핑크림 추가되나요 ,네 500원 추가하시면 추가돼요
네 그럼 휘핑크림 추가해서 주세요,네 녹차라떼에 휘핑크림 추가해서 4500원입니다
브레드 종류는 뭐가 있나요 ,허니 브레드와 갈릭 치즈 브레드가 있습니다
생크림이 올라가는 건 어떤 건가요 ,허니 브레드입니다
갈릭 치즈 브레드에 생크림을 올려주실 수는 없나요 ,500원의 추가 비용이 발생되는데 괜찮으세요 
네 그렇게 만들어 주세요,더 필요한 건 없으세요 
아이스 바닐라 라떼도 한 잔 주세요,네 핸드폰 알림울리면 가지로 오세요
라떼 한 잔에 얼마인가요 ,4500원입니다
베이글은 남아있나요 ,오늘은 다 팔렸어요
그러면 베이글 하나랑 라떼 한 잔 주세요,네 적립 쿠폰 주시면 적립해드릴게요
혹시 적립 쿠폰으로 커피 계산할 수 있나요 ,네 됩니다
그러면 커피는 쿠폰으로 베이글은 카드로 계산해주세요,알겠습니다
여기서 제일 잘나가는게 뭐에요,라이트한 맛의 아이스 아메리카노가 잘나가요
아이스 아메리카노에 얼음 조금 덜 넣어주실 수 있나요 ,네 또 더 필요한 거 있으세요 
네 초코 라떼 1개 더 추가로 주세요,드시고 가시나요 
아니요 테이크아웃이요,네 포인트 적립하시나요
아니요 기프티콘으로 결제할게요,저한테 보여주시고 제가 확인 버튼 누르면 돼요
여기 있습니다,네 확인되셨고 차례되면 핸드폰 알림울리면 가지로 오세요
핫초코 파나요 ,네 5000원입니다
핫초코 한잔 아메리카노 한잔하면 얼마인가요 ,9000원입니다
사이즈업 되나요 ,아메리카노만 사이즈업 가능하십니다
핫초코 한 잔 아메리카노 사이즈업한 잔 하면 얼마인가요 ,9500원입니다
자몽티도 파나요 ,네 5000원입니다
제일 맛있는 케이크가 뭐예요,케이크는 판매하지 않습니다
베이글 한 조각에 얼마죠,3000원입니다
그거랑 아메리카노 주세요,사이즈 선택해주세요
라지 사이즈로 주세요,총 7500원입니다
카드로 결제할게요,영수증 드릴게요
저 아메리카노에 샷 추가해서 주세요,저희 투 샷으로 들어가는데 샷 추가해드릴까요 
네 4샷으로 넣어주세요,네 4000원입니다
저 카카오페이로 결제할게요,결제 완료되었습니다
아 저 이 샌드위치도 하나 주세요,네 티라미수는 3500원입니다
네 두 개 함께 가져다주세요,네 감사합니다
